"symbol","date","open","high","low","close","volume","adjusted"
"GILD",2020-11-24,59.630001,60.98,59.59,60.25,7827300,60.25
"GILD",2020-11-25,60.18,60.439999,59.470001,59.5,8336100,59.5
"GILD",2020-11-27,59.639999,60.060001,59.279999,60.029999,5040700,60.029999
"GILD",2020-11-30,59.759998,60.790001,59.639999,60.669998,16315700,60.669998
"PFE",2020-07-01,32.770397,32.770397,31.992411,32.011387,73503000,31.378843
"PFE",2020-07-02,32.846298,33.064518,32.296017,32.741936,45270900,32.094959
"PFE",2020-07-06,33.159393,33.197342,32.618595,32.741936,27150900,32.094959
"PFE",2020-07-07,32.305504,32.590134,32.220116,32.286526,25148000,31.648546
"PFE",2020-07-08,32.267551,32.609108,31.850096,32.020874,24256500,31.388144
"PFE",2020-07-09,32.001896,32.144211,31.404175,31.745731,20363700,31.118437
"PFE",2020-07-10,31.935484,32.296017,31.774193,32.096775,24459000,31.462545
"PFE",2020-07-13,32.950665,33.889942,32.751423,33.406071,56569100,32.745968
"PFE",2020-07-14,33.557877,33.605312,33.092979,33.425049,32854100,32.764572
"PFE",2020-07-15,34.146111,34.155598,33.652752,33.889942,26294500,33.220276
"PFE",2020-07-16,33.776093,33.814041,33.45351,33.776093,18421800,33.108677
"PFE",2020-07-17,34.02277,34.468689,33.899429,34.392788,23347400,33.713188
"PFE",2020-07-20,35.56926,35.6926,34.459202,34.629982,36815700,33.945694
"PFE",2020-07-21,35.04744,35.180267,34.648956,34.810246,23646900,34.122395
"PFE",2020-07-22,36.271347,36.745731,35.597721,36.584438,90705600,35.86153
"PFE",2020-07-23,37.220116,37.400379,36.223907,36.442123,59639500,35.722031
"PFE",2020-07-24,36.081593,36.195446,35.417458,35.730549,33870500,35.024517
"PFE",2020-07-27,35.445919,35.815941,35.322582,35.616699,27640300,34.912914
"PFE",2020-07-28,36.565464,37.324478,36.110058,37.020874,56394000,36.289341
"PFE",2020-07-29,37.286526,37.428841,36.480076,37.248577,37033700,36.512547
"PFE",2020-07-30,36.318787,36.944973,36.242886,36.755219,32273800,36.381069
"PFE",2020-07-31,36.318787,36.764706,35.920303,36.508537,28503000,36.136902
"PFE",2020-08-03,36.631878,36.679317,36.26186,36.385201,31036400,36.01482
"PFE",2020-08-04,36.347248,36.698292,36.138519,36.423149,29448500,36.05238
"PFE",2020-08-05,36.49905,36.555977,36.176472,36.480076,24604800,36.108727
"PFE",2020-08-06,36.78368,37.096775,36.195446,36.309299,20922100,35.93969
"PFE",2020-08-07,36.337761,36.641365,36.204933,36.480076,23076900,36.108727
"PFE",2020-08-10,36.574951,36.679317,36.299809,36.423149,19964600,36.05238
"PFE",2020-08-11,36.584438,36.603416,35.74004,35.853889,21326800,35.488914
"PFE",2020-08-12,35.891842,36.574951,35.872864,36.366222,19965800,35.996033
"PFE",2020-08-13,36.119545,36.223907,35.939278,36.21442,15340000,35.845776
"PFE",2020-08-14,36.062618,36.423149,35.986717,36.110058,12901300,35.742477
"PFE",2020-08-17,36.09108,36.442123,36.005692,36.385201,17494200,36.01482
"PFE",2020-08-18,36.480076,36.489563,36.21442,36.394688,10846400,36.024208
"PFE",2020-08-19,36.508537,36.631878,36.166985,36.299809,15690100,35.930298
"PFE",2020-08-20,36.223907,36.802658,36.176472,36.736244,21957500,36.362289
"PFE",2020-08-21,36.916508,37.001896,36.593929,36.888046,25467200,36.512547
"PFE",2020-08-24,37.020874,37.039848,36.565464,36.850094,25011900,36.474979
"PFE",2020-08-25,36.537003,36.584438,36.005692,36.442123,26221200,36.071163
"PFE",2020-08-26,36.233398,36.309299,35.730549,36.100571,24083700,35.733086
"PFE",2020-08-27,36.015179,36.053131,35.749527,35.920303,22156600,35.554653
"PFE",2020-08-28,35.92979,36.110058,35.483871,35.967743,32830500,35.601612
"PFE",2020-08-31,35.901329,36.072105,35.578747,35.853889,30032500,35.488914
"PFE",2020-09-01,35.853889,35.882355,34.639469,34.990513,36161500,34.634327
"PFE",2020-09-02,34.886147,35.388996,34.535103,35.294117,29068700,34.934841
"PFE",2020-09-03,35.455406,35.56926,34.250473,34.535103,35956800,34.183556
